Index, Type, Name, Location, Start Time (hh:mm:ss:fff), Duration (hh:mm:ss:fff)
0, Invisible, ObstacleBox (6), Other, 00:02:08:019, 00:00:13:331
1, Wall, ObstacleBox (48), LeftSide, 00:04:20:442, 00:00:00:602
