Index, Type, Name, Location, Start Time (hh:mm:ss:fff), Duration (hh:mm:ss:fff)
0, Wall, ObstacleBox (31), RightSide, 00:00:34:894, 00:00:00:570
1, Wall, ObstacleBox (44), LeftSide, 00:01:28:489, 00:00:00:771
2, Wall, ObstacleBox (48), LeftSide, 00:01:29:628, 00:00:00:468
3, Wall, ObstacleBox (44), LeftSide, 00:01:39:168, 00:00:00:536
