Index, Type, Name, Location, Start Time (hh:mm:ss:fff), Duration (hh:mm:ss:fff)
0, Wall, ObstacleBox (31), RightSide, 00:00:54:794, 00:00:00:736
1, Wall, ObstacleBox (48), LeftSide, 00:02:36:948, 00:00:01:105
