Index, Type, Name, Location, Start Time (hh:mm:ss:fff), Duration (hh:mm:ss:fff)
0, Wall, ObstacleBox (31), RightSide, 00:00:49:021, 00:00:00:637
1, Wall, ObstacleBox (31), RightSide, 00:00:55:249, 00:00:01:209
