Index, Type, Name, Location, Start Time (hh:mm:ss:fff), Duration (hh:mm:ss:fff)
0, Wall, ObstacleBox (6), RightSide, 00:01:04:538, 00:00:00:167
1, Wall, ObstacleBox (30), RightSide, 00:01:12:380, 00:00:02:078
2, Wall, ObstacleBox (31), RightSide, 00:01:14:994, 00:00:01:007
3, Invisible, ObstacleBox (6), Other, 00:01:18:900, 00:00:01:540
4, Wall, ObstacleBox (10), RightSide, 00:01:21:042, 00:00:00:903
5, Wall, ObstacleBox (31), RightSide, 00:01:24:796, 00:00:03:118
6, Wall, ObstacleBox (31), RightSide, 00:01:28:818, 00:00:00:235
7, Wall, ObstacleBox (44), LeftSide, 00:03:19:671, 00:00:00:335
8, Invisible, ObstacleBox (7), Other, 00:03:21:817, 00:00:02:075
9, Wall, ObstacleBox (45), LeftSide, 00:03:23:390, 00:00:02:009
10, Wall, ObstacleBox (44), LeftSide, 00:03:26:202, 00:00:00:203
11, Wall, ObstacleBox (48), LeftSide, 00:03:26:674, 00:00:01:205
12, Wall, ObstacleBox (20), RightSide, 00:03:29:353, 00:00:02:848
13, Wall, ObstacleBox (21), RightSide, 00:03:30:560, 00:00:01:808
14, Wall, ObstacleBox (49), LeftSide, 00:03:35:615, 00:00:00:135
15, Wall, ObstacleBox (57), LeftSide, 00:03:59:900, 00:00:01:608
16, Wall, ObstacleBox (71), LeftSide, 00:04:07:037, 00:00:00:635
